"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000147533",-0.0272549671539446,6.13122698308914,-0.249474839212448,0.803781415976043,0.905500652241001,-6.14951812733938
"ENSG00000119321",-0.0810984700764852,7.12853239769336,-0.632140640380188,0.529515684561465,0.733113456033256,-6.14954951074707
"ENSG00000164253",0.0184811832216001,6.04231352623596,0.131216112849803,0.896010266680047,0.953340923238938,-6.14969101097605
"ENSG00000136861",-0.0603635632647705,6.99200057844504,-0.569851621766614,0.570745738500509,0.762854180447391,-6.15041073348058
"ENSG00000142186",0.0456711156768321,6.26317549616272,0.394183213784761,0.694738055421227,0.84332892159656,-6.15041528282975
"ENSG00000163399",-0.0459628114577608,6.2785284084101,-0.356904720538673,0.722321003086455,0.860530248155479,-6.15099909533918
"ENSG00000161202",-0.0275538061591973,6.04499295729322,-0.223551375953588,0.823808598429353,0.918774223757901,-6.15137796849787
"ENSG00000086598",0.075383599498684,6.8150352323686,0.504433207118973,0.615665383661841,0.790140167300285,-6.1517870697604
"ENSG00000184009",0.0570319247351456,11.748158514367,0.714422577977142,0.477527762804956,0.694872152036842,-6.15353266991083
"ENSG00000131408",0.0557777456810928,6.59868775980048,0.463514591499897,0.644546345366872,0.80798170491457,-6.15376647247575
"ENSG00000235750",0.0430278193256139,6.18667597449686,0.340441077531533,0.734623914352659,0.865925739454263,-6.15391495269576
"ENSG00000119231",0.0249949055953609,6.05967298226883,0.21491531000566,0.830507261502727,0.919802505633456,-6.1539967351372
"ENSG00000184208",-0.0453735701360793,6.08137735404068,-0.279611215145001,0.780665010935357,0.893312955172405,-6.15399869723823
"ENSG00000140396",0.069985068067993,8.11541736371101,0.739631191751153,0.462190872299741,0.682389125281569,-6.15431831935808
"ENSG00000135940",0.042441578991613,6.16235364069486,0.318782788002964,0.750914941776024,0.876651896943082,-6.15506035545472
"ENSG00000101150",-0.0412778259273932,6.29393212808697,-0.374776047847934,0.709048931435565,0.853144601749549,-6.15512131224924
"ENSG00000111669",0.0677832524440074,8.36793210002912,0.764008404825541,0.447631040764369,0.673057282094537,-6.15544856514606
"ENSG00000172183",-0.0281987931328063,5.92618192610883,-0.171381510226116,0.864457035753231,0.938095451891543,-6.15548255538101
"ENSG00000132669",-0.0271028973802112,6.07506601919438,-0.176083561863547,0.860776588599644,0.935469949070588,-6.15551167386274
"ENSG00000182473",-0.0543861573216438,6.92382180509175,-0.578713901006798,0.56478531628702,0.757309968774719,-6.1562777458334
"ENSG00000090905",0.0481201368395743,6.64100272978681,0.483170418233989,0.630600784737594,0.798866645654358,-6.15646401167753
"ENSG00000167257",0.0113615193846428,6.03160205971432,0.0782965326805425,0.937833080981346,0.970245846028555,-6.15682907338048
"ENSG00000119689",0.0503742358657204,6.43510963607284,0.383134512094089,0.702872136518233,0.849169056607364,-6.15770169201808
"ENSG00000120948",-0.0452244412977096,6.31463893493128,-0.385500167184231,0.701127565209048,0.847889672643484,-6.15803187155473
"ENSG00000204138",0.0585878855153252,6.79233717939303,0.514117963833309,0.608915735202331,0.785327886090789,-6.15808009527832
"ENSG00000138964",-0.0518209503236777,6.29943051218793,-0.37328440944251,0.710153308093085,0.853688266216047,-6.15907162902779
"ENSG00000100181",-0.119958643027965,6.59532718026954,-0.433220367086232,0.666291162583118,0.825552479816427,-6.15939851760202
"ENSG00000125835",-0.024419547349245,5.9217271501779,-0.150739760016411,0.880648552012934,0.946306373050584,-6.15975921471107
"ENSG00000198624",-0.0665011056394498,8.24894479029813,-0.755610817523408,0.452616337207383,0.675576384960499,-6.16110099866826
"ENSG00000001629",-0.0243067925085176,6.11471411980018,-0.19066694646644,0.849381721782431,0.930388086073578,-6.16184895444281
"ENSG00000153922",-0.068884094748765,7.28689673910931,-0.634432711891463,0.52802859138833,0.732170976300235,-6.16190281525617
"ENSG00000108848",-0.0625040565009254,7.12813806925188,-0.597541027578663,0.552225526684563,0.745990126402338,-6.1624716429695
"ENSG00000163788",-0.0646294838979005,7.51373430118754,-0.673977055554934,0.502719418047191,0.712490996233375,-6.16251072394904
"ENSG00000086102",0.0548318872818188,6.60553169568128,0.446076320992087,0.657026851143045,0.817793530963516,-6.16260395481761
"ENSG00000100030",-0.0604890565423295,8.0686810406946,-0.722346841888479,0.472676170695946,0.690571139166403,-6.16303875056636
"ENSG00000197061",-0.0721666299433155,6.33495533485248,-0.370099164555535,0.712513677868973,0.855324174066797,-6.16454665547599
"ENSG00000198648",0.0879784404863786,7.2736536364542,0.606491086402211,0.546304423848292,0.744066625281373,-6.16460319487997
"ENSG00000125868",0.057168540324275,6.85070799116041,0.503486298756236,0.616327119370493,0.790430825407355,-6.1647728752191
"ENSG00000090861",0.02894205844495,6.04811920356984,0.207329621433222,0.836401620494956,0.922598912422863,-6.16526946328317
"ENSG00000204406",0.0517255114275494,6.45506250155467,0.338149419495168,0.736342044057448,0.865925739454263,-6.16531052494636
"ENSG00000125249",0.0509446866476289,6.67025115921586,0.472019619258813,0.638496032888796,0.804593623233154,-6.16542601963378
